Name,Frequency,Effect,Trigger,Target,Keywords,Effect 2
Mega Launcher [Errata],Static,"The user increases the Damage Base of Aura Sphere, Dark Pulse, Dragon Pulse, and Water Pulse by +3.",,,2-16 Errata,"Keywords - 2-16 Errata
The user increases the Damage Base of Aura Sphere, Dark Pulse, Dragon Pulse, and Water Pulse by +3."
Memory Wipe [Errata],Scene - Special,"If used as a Swift Action, the last Move used by the target becomes Disabled. If used as a Standard Action, the target is Flinched and Paralyzed. If used as an Extended Action that takes about 1 minute, it can erase up to 10 minutes that have occurred within the last 30 minutes from the target’s memory.",,A foe within 10 meters,2-16 Errata,"Keywords - 2-16 Errata
Target - A foe within 10 meters
If used as a Swift Action, the last Move used by the target becomes Disabled. If used as a Standard Action, the target is Flinched and Paralyzed. If used as an Extended Action that takes about 1 minute, it can erase up to 10 minutes that have occurred within the last 30 minutes from the target’s memory."
Migraine [Errata],Scene x2 - Free Action,Connection - Confusion. Confusion automatically gives its target the Confusion Affliction and is a Critical Hit.,The user hits with Confusion while at 50% Hit Points or less,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user hits with Confusion while at 50% Hit Points or less
Connection - Confusion. Confusion automatically gives its target the Confusion Affliction and is a Critical Hit."
Moody [Errata],Static,"At the end of the user’s turn, roll 1d6 to determine a Stat to be raised by +2 Combat Stages, then roll 1d6 to determine a Stat to be lowered by 1 Combat Stage. 1 is Attack, 2 is Defense, 3 is Special Attack, 4 is Special Defense, 5 is Speed, and 6 is Accuracy.",,,2-16 Errata,"Keywords - 2-16 Errata
At the end of the user’s turn, roll 1d6 to determine a Stat to be raised by +2 Combat Stages, then roll 1d6 to determine a Stat to be lowered by 1 Combat Stage. 1 is Attack, 2 is Defense, 3 is Special Attack, 4 is Special Defense, 5 is Speed, and 6 is Accuracy."
Multiscale [Errata],Static,"While at full Hit Points, all damage taken is resisted one step further. Defensive.",,,2-16 Errata,"Keywords - 2-16 Errata
While at full Hit Points, all damage taken is resisted one step further. Defensive."
Mummy [Errata],At-Will - Free Action,Disable one of the user’s Abilities for the rest of the Scene or until they are switched out.,The user is hit by a Melee Attack,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user is hit by a Melee Attack
Disable one of the user’s Abilities for the rest of the Scene or until they are switched out."
No Guard [Errata],Static,The user gains a +3 bonus to all Attack Rolls; however all foes gain a +3 Bonus on Attack Rolls against the user.,,,2-16 Errata,"Keywords - 2-16 Errata
The user gains a +3 bonus to all Attack Rolls; however all foes gain a +3 Bonus on Attack Rolls against the user."
Normalize [Errata],Static,The user’s attacks cannot deal Super-Effective or Resisted Damage; they instead resolve as if dealing Neutral Damage. The user also takes neutral damage from all attacks to which they are not immune. This does not affect Immunities.,,,2-16 Errata,"Keywords - 2-16 Errata
The user’s attacks cannot deal Super-Effective or Resisted Damage; they instead resolve as if dealing Neutral Damage. The user also takes neutral damage from all attacks to which they are not immune. This does not affect Immunities."
Odious Spray [Errata],Static,"Connection - Poison Gas. The user may use Poison Gas as if it had a Range “8, 1 Target”, an AC of 2, and Flinched its target when it hit.",,,2-16 Errata,"Keywords - 2-16 Errata
Connection - Poison Gas. The user may use Poison Gas as if it had a Range “8, 1 Target”, an AC of 2, and Flinched its target when it hit."
Perception [Errata],Static,"The user gains +1 Evasion. Whenever an Ally uses a damaging area-of-effect attack that would hit you, you may Disengage as a Free Action before the attack resolves.",,,2-16 Errata,"Keywords - 2-16 Errata
The user gains +1 Evasion. Whenever an Ally uses a damaging area-of-effect attack that would hit you, you may Disengage as a Free Action before the attack resolves."
Permafrost [Errata],Static,"The user is immune to damage and Hit Point loss from Hazards, Weather, Status Afflictions, Vortexes, Recoil, Hay Fever, Iron Barbs, Rough Skin, and Leech Seed. Defensive.",,,2-16 Errata,"Keywords - 2-16 Errata
The user is immune to damage and Hit Point loss from Hazards, Weather, Status Afflictions, Vortexes, Recoil, Hay Fever, Iron Barbs, Rough Skin, and Leech Seed. Defensive."
Poltergeist [Errata],Static,"Rotom gains an Ability depending on what Form it has taken. If Rotom is level 40 or higher, it also may use a Move based on its Forme as if it that Move was on their Move List. (Ability - Move)

Standard Rotom: Levitate - None
Heat Rotom: Flash Fire - Overheat
Wash Rotom: Water Absorb - Hydro Pump
Frost Rotom: Winter’s Kiss - Blizzard
Fan Rotom: Windveiled - Hurricane
Mow Rotom: Sap Sipper - Leaf Storm",,,2-16 Errata,"Keywords - 2-16 Errata
Rotom gains an Ability depending on what Form it has taken. If Rotom is level 40 or higher, it also may use a Move based on its Forme as if it that Move was on their Move List. (Ability - Move)

Standard Rotom: Levitate - None
Heat Rotom: Flash Fire - Overheat
Wash Rotom: Water Absorb - Hydro Pump
Frost Rotom: Winter’s Kiss - Blizzard
Fan Rotom: Windveiled - Hurricane
Mow Rotom: Sap Sipper - Leaf Storm"
Pressure [Errata],Scene - Swift Action,All foes within 3 meters are Suppressed for 1 full round.,,,2-16 Errata,"Keywords - 2-16 Errata
All foes within 3 meters are Suppressed for 1 full round."
Prime Fury [Errata],Scene - Swift Action,"The user becomes Enraged, and gains +1 Combat Stage in each of Attack and Special Attack.",,,2-16 Errata,"Keywords - 2-16 Errata
The user becomes Enraged, and gains +1 Combat Stage in each of Attack and Special Attack."
Pumpkingrab [Errata],Scene - Standard Action,The user automatically Grapples an adjacent foe and gains dominance.,,,2-16 Errata,"Keywords - 2-16 Errata
The user automatically Grapples an adjacent foe and gains dominance."
Quick Curl [Errata],Scene - Free Action,Connection - Defense Curl. The user may activate this Ability to use Defense Curl as an Standard Action Interrupt and gain +10 Damage Reduction for 1 full round.,,,2-16 Errata,"Keywords - 2-16 Errata
Connection - Defense Curl. The user may activate this Ability to use Defense Curl as an Standard Action Interrupt and gain +10 Damage Reduction for 1 full round."
Quick Feet [Errata],Static,"When Poisoned, Burned, Paralyzed, Frozen or put to Sleep, the user’s Speed is raised 2 Combat Stages. The user’s Initiative is not halved by Paralysis. If the user is healed all Status Conditions, their Speed is lowered appropriately.",,,2-16 Errata,"Keywords - 2-16 Errata
When Poisoned, Burned, Paralyzed, Frozen or put to Sleep, the user’s Speed is raised 2 Combat Stages. The user’s Initiative is not halved by Paralysis. If the user is healed all Status Conditions, their Speed is lowered appropriately."
Rain Dish [Errata],Daily x5 - Swift Action,The user gains a Tick of Hit Points. Rain Dish may only be used while the user is under 50% Hit Points or in Rainy Weather.,,,2-16 Errata,"Keywords - 2-16 Errata
The user gains a Tick of Hit Points. Rain Dish may only be used while the user is under 50% Hit Points or in Rainy Weather."
Rally [Errata],Scene - Swift Action,"The user and all allies within 10 meters may immediately Disengage 1 Meter as a free Action. Rally does not work on sleeping, paralyzed, stuck, fainted, or otherwise incapacitated allies.",,,2-16 Errata,"Keywords - 2-16 Errata
The user and all allies within 10 meters may immediately Disengage 1 Meter as a free Action. Rally does not work on sleeping, paralyzed, stuck, fainted, or otherwise incapacitated allies."
Rattled [Errata],At-Will - Free Action,"The user’s Speed is raised by +1 Combat Stage, and may immediately Disengage as a Free Action.","The user is hit by a Bug, Dark, or Ghost Type Move",,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user is hit by a Bug, Dark, or Ghost Type Move
The user’s Speed is raised by +1 Combat Stage, and may immediately Disengage as a Free Action."
Reckless [Errata],Static,"Increases the Damage Base of Moves with the Exhaust, Recoil, or Reckless Keywords by +3.
Reckless Moves: Jump Kick, Hi Jump Kick, Close Combat, Draco Meteor, Hammer Arm, Leaf Storm, Outrage, Overheat, Petal Dance, Psycho Boost, Superpower, Thrash, and V-Create.",,,2-16 Errata,"Keywords - 2-16 Errata
Increases the Damage Base of Moves with the Exhaust, Recoil, or Reckless Keywords by +3.
Reckless Moves: Jump Kick, Hi Jump Kick, Close Combat, Draco Meteor, Hammer Arm, Leaf Storm, Outrage, Overheat, Petal Dance, Psycho Boost, Superpower, Thrash, and V-Create."
Regal Challenge [Errata],Scene - Swift Action,"Ask the target if they will show deference or defiance. If they choose Deference, the target loses their next Shift action and loses 3 CS in the Stat of the user’s choice. If they choose Defiance, the user gains a +10 Bonus to all Damage Rolls for the rest of the Scene.",,Pokémon or Trainer within 5 Meters,2-16 Errata,"Keywords - 2-16 Errata
Target - Pokémon or Trainer within 5 Meters
Ask the target if they will show deference or defiance. If they choose Deference, the target loses their next Shift action and loses 3 CS in the Stat of the user’s choice. If they choose Defiance, the user gains a +10 Bonus to all Damage Rolls for the rest of the Scene."
Rock Head [Errata],Static,"The user ignores the Recoil keyword when attacking. If the user moves at least 4 meters in a straight line towards a foe before attacking that foe with a physical attack, they may add a +2d6 Bonus to the Damage Roll against that foe.",,,2-16 Errata,"Keywords - 2-16 Errata
The user ignores the Recoil keyword when attacking. If the user moves at least 4 meters in a straight line towards a foe before attacking that foe with a physical attack, they may add a +2d6 Bonus to the Damage Roll against that foe."
Rocket [Errata],Scene - Free Action,"The user may take their turn at the top of the round. Priority, Interrupt, or Reaction Moves or Abilities cannot be declared in response to the user’s turn.
Bonus: The user’s Sky capability is increased by +2",A Round Begins,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - A Round Begins
The user may take their turn at the top of the round. Priority, Interrupt, or Reaction Moves or Abilities cannot be declared in response to the user’s turn.
Bonus: The user’s Sky capability is increased by +2"
Root Down [Errata],At-Will - Shift Action,"Connection - Ingrain. While the user has the Ingrain Coat, they may activate this Ability to gain 5 Damage Reduction.",,,2-16 Errata,"Keywords - 2-16 Errata
Connection - Ingrain. While the user has the Ingrain Coat, they may activate this Ability to gain 5 Damage Reduction."
Run Away [Errata],Static,The user does not provoke Attacks of Opportunity by Shifting. The user cannot be Trapped.,,,2-16 Errata,"Keywords - 2-16 Errata
The user does not provoke Attacks of Opportunity by Shifting. The user cannot be Trapped."
